run_name,method,seed,selection,budget,update_rule,queried_label,queried_count,labels_queried_total
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,97,random_nested,200,replay,DoS,1,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,97,random_nested,200,replay,Exploits,7,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,97,random_nested,200,replay,Reconnaissance,3,200
E23_UNSW_Reconnaissance_static,unsw_reconnaissance_static,109,static,0,none,,0,0
E23_UNSW_Reconnaissance_static,unsw_reconnaissance_static,11,static,0,none,,0,0
E23_UNSW_Reconnaissance_static,unsw_reconnaissance_static,127,static,0,none,,0,0
E23_UNSW_Reconnaissance_static,unsw_reconnaissance_static,149,static,0,none,,0,0
E23_UNSW_Reconnaissance_static,unsw_reconnaissance_static,23,static,0,none,,0,0
E23_UNSW_Reconnaissance_static,unsw_reconnaissance_static,37,static,0,none,,0,0
E23_UNSW_Reconnaissance_static,unsw_reconnaissance_static,53,static,0,none,,0,0
E23_UNSW_Reconnaissance_static,unsw_reconnaissance_static,71,static,0,none,,0,0
E23_UNSW_Reconnaissance_static,unsw_reconnaissance_static,83,static,0,none,,0,0
E23_UNSW_Reconnaissance_static,unsw_reconnaissance_static,97,static,0,none,,0,0
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,109,uncertainty_diversity,50,source_anchored,Benign,42,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,109,uncertainty_diversity,50,source_anchored,Exploits,5,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,109,uncertainty_diversity,50,source_anchored,Generic,2,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,109,uncertainty_diversity,50,source_anchored,Shellcode,1,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,11,uncertainty_diversity,50,source_anchored,Benign,40,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,11,uncertainty_diversity,50,source_anchored,Exploits,6,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,11,uncertainty_diversity,50,source_anchored,Generic,2,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,11,uncertainty_diversity,50,source_anchored,Reconnaissance,1,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,11,uncertainty_diversity,50,source_anchored,Shellcode,1,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,127,uncertainty_diversity,50,source_anchored,Benign,41,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,127,uncertainty_diversity,50,source_anchored,Exploits,5,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,127,uncertainty_diversity,50,source_anchored,Generic,2,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,127,uncertainty_diversity,50,source_anchored,Reconnaissance,1,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,127,uncertainty_diversity,50,source_anchored,Shellcode,1,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,149,uncertainty_diversity,50,source_anchored,Benign,42,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,149,uncertainty_diversity,50,source_anchored,DoS,1,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,149,uncertainty_diversity,50,source_anchored,Exploits,4,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,149,uncertainty_diversity,50,source_anchored,Generic,2,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,149,uncertainty_diversity,50,source_anchored,Shellcode,1,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,23,uncertainty_diversity,50,source_anchored,Benign,41,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,23,uncertainty_diversity,50,source_anchored,DoS,1,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,23,uncertainty_diversity,50,source_anchored,Exploits,5,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,23,uncertainty_diversity,50,source_anchored,Generic,2,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,23,uncertainty_diversity,50,source_anchored,Shellcode,1,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,37,uncertainty_diversity,50,source_anchored,Benign,42,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,37,uncertainty_diversity,50,source_anchored,Exploits,5,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,37,uncertainty_diversity,50,source_anchored,Generic,2,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,37,uncertainty_diversity,50,source_anchored,Shellcode,1,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,53,uncertainty_diversity,50,source_anchored,Benign,42,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,53,uncertainty_diversity,50,source_anchored,DoS,1,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,53,uncertainty_diversity,50,source_anchored,Exploits,4,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,53,uncertainty_diversity,50,source_anchored,Generic,2,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,53,uncertainty_diversity,50,source_anchored,Shellcode,1,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,71,uncertainty_diversity,50,source_anchored,Benign,41,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,71,uncertainty_diversity,50,source_anchored,Exploits,6,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,71,uncertainty_diversity,50,source_anchored,Generic,2,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,71,uncertainty_diversity,50,source_anchored,Shellcode,1,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,83,uncertainty_diversity,50,source_anchored,Benign,40,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,83,uncertainty_diversity,50,source_anchored,Exploits,6,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,83,uncertainty_diversity,50,source_anchored,Generic,2,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,83,uncertainty_diversity,50,source_anchored,Reconnaissance,1,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,83,uncertainty_diversity,50,source_anchored,Shellcode,1,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,97,uncertainty_diversity,50,source_anchored,Benign,41,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,97,uncertainty_diversity,50,source_anchored,Exploits,6,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,97,uncertainty_diversity,50,source_anchored,Generic,2,50
E23_UNSW_Reconnaissance_ud_anchored_B050,unsw_reconnaissance_ud_anchored_B050,97,uncertainty_diversity,50,source_anchored,Shellcode,1,50
