window,start_row,stop_row,n_rows,shift_score,predicted_unknown_rate,novel_prevalence_posthoc,labels_present_posthoc,phase,normalized_shift_score
153,76500,77000,500,44.613417655845645,0.08,0.012,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,post_change,8.0
154,77000,77500,500,9.878028499176313,0.088,0.01,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,post_change,8.0
155,77500,78000,500,16262.658445737507,0.078,0.014,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,post_change,8.0
156,78000,78500,500,15.948679251655866,0.132,0.008,Benign|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,8.0
157,78500,79000,500,12.470293243127818,0.106,0.008,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,8.0
158,79000,79500,500,11.776326974968661,0.1,0.006,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Worms,post_change,8.0
159,79500,80000,500,10.637996331483386,0.106,0.008,Benign|Exploits|Fuzzers|Generic|Reconnaissance,post_change,8.0
160,80000,80500,500,236.99459806541972,0.086,0.004,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,8.0
161,80500,81000,500,9.517576309507154,0.096,0.006,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,post_change,8.0
162,81000,81500,500,6.9274732464053175,0.068,0.024,Backdoor|Benign|DoS|Exploits|Generic|Reconnaissance,post_change,8.0
163,81500,82000,500,12.257644551228072,0.114,0.052,Benign|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,8.0
164,82000,82500,500,5.567630945919365,0.07,0.016,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,post_change,8.0
165,82500,83000,500,5.526178298128276,0.07,0.012,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,post_change,8.0
166,83000,83500,500,6.39871456315177,0.076,0.026,Benign|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,8.0
167,83500,84000,500,6.933830802813144,0.082,0.022,Benign|Exploits|Fuzzers|Generic|Reconnaissance,post_change,8.0
168,84000,84500,500,5.775856508585403,0.068,0.016,Benign|Exploits|Fuzzers|Generic|Reconnaissance,post_change,8.0
