window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
121,60500,61000,500,0.0,0.3055835338444034,0.3722593831289483,0.4401459472911182,0.3055835338444034,,,0.87,,0.87,0.0,,1.0,0.13,0.527285407090041,False,none,0.08941060285267316,0.0,0,0,False,0.3402745331018427,0.0
122,61000,61500,500,0.0,0.25620391611421905,0.3472651144887839,0.3799667490352168,0.25620391611421905,,,0.83,,0.83,0.0,,1.0,0.17,0.4870143739504532,False,none,0.08600381855772224,0.0,0,0,False,0.3402745331018427,0.0
123,61500,62000,500,0.0,0.34830194533269826,0.440338860850757,0.44551498200417783,0.34830194533269826,,,0.846,,0.846,0.0,,1.0,0.154,0.5044927129347078,False,none,0.05885462818205436,0.0,0,0,False,0.3402745331018427,0.0
124,62000,62500,500,0.0,0.29083176866357646,0.3606744298884037,0.3911626724998622,0.29083176866357646,,,0.85,,0.85,0.0,,1.0,0.15,0.5219066761927547,False,none,0.05941803442725009,0.0,0,0,False,0.3402745331018427,0.0
125,62500,63000,500,0.0,0.2052417148944747,0.3810028248587571,0.2626218853609517,0.2052417148944747,,,0.866,,0.866,0.0,,1.0,0.134,0.5443462222426406,False,none,0.06801176213853405,0.0,0,0,False,0.3402745331018427,0.0
126,63000,63500,500,0.0,0.3815007350812978,0.6048387096774194,0.47443308681022384,0.3815007350812978,,,0.892,,0.892,0.0,,1.0,0.108,0.5401795852014069,False,none,0.04764891696333156,0.0,0,0,False,0.3402745331018427,0.0
127,63500,64000,500,0.0,0.25378060702432415,0.28455433455433454,0.43575601750572374,0.25378060702432415,,,0.876,,0.876,0.0,,1.0,0.124,0.5263390213768859,False,none,0.043933296772270834,0.0,0,0,False,0.3402745331018427,0.0
128,64000,64500,500,0.0,0.36783719433719436,0.3601181498240322,0.5953765198036827,0.36783719433719436,,,0.906,,0.906,0.0,,1.0,0.094,0.5581640008621501,False,none,0.05092249240542847,0.0,0,0,False,0.3402745331018427,0.0
129,64500,65000,500,0.0,0.3704288693374069,0.3858771929824561,0.5766060109656757,0.3704288693374069,,,0.908,,0.908,0.0,,1.0,0.092,0.5663233160387909,False,none,0.07570024191057446,0.0,0,0,False,0.3402745331018427,0.0
130,65000,65500,500,0.0,0.2840883742058205,0.3324074074074074,0.44958936756098694,0.2840883742058205,,,0.874,,0.874,0.0,,1.0,0.126,0.5247713637332962,False,none,0.08906216844943404,0.0,0,0,False,0.3402745331018427,0.0
131,65500,66000,500,0.0,0.32516191489515706,0.3878584229390681,0.42632559691094496,0.32516191489515706,,,0.89,,0.89,0.0,,1.0,0.11,0.5461577801135801,False,none,0.10289434398114267,0.0,0,0,False,0.3402745331018427,0.0
132,66000,66500,500,0.0,0.3009300073465571,0.34508547008547,0.4484636010247181,0.3009300073465571,,,0.914,,0.914,0.0,,1.0,0.086,0.5180690043681065,False,none,0.05847035274257661,0.0,0,0,False,0.3402745331018427,0.0
133,66500,67000,500,0.0,0.26049481957842086,0.31137005649717514,0.43222479045242707,0.26049481957842086,,,0.926,,0.926,0.0,,1.0,0.074,0.5491188286923875,False,none,0.06958101443263659,0.0,0,0,False,0.3402745331018427,0.0
134,67000,67500,500,0.0,0.19574642451159222,0.2597680097680098,0.43925224175347166,0.19574642451159222,,,0.928,,0.928,0.0,,1.0,0.072,0.5773537537532305,False,none,0.072457688162649,0.0,0,0,False,0.3402745331018427,0.0
135,67500,68000,500,0.0,0.23425981271169558,0.2454861111111111,0.29962916063382766,0.2811117752540347,,,0.94,,0.94,0.0,,1.0,0.06,0.5876813051654928,False,none,0.1006667585392483,0.0,0,0,False,0.3402745331018427,0.0
136,68000,68500,500,0.0,0.35344265704994626,0.4192542878448919,0.5939108107527613,0.35344265704994626,,,0.918,,0.918,0.0,,1.0,0.082,0.5882358266650998,False,none,0.11419189966954318,0.0,0,0,False,0.3402745331018427,0.0
137,68500,69000,500,0.0,0.3634987609671154,0.43745126705653026,0.5481271362857064,0.3634987609671154,,,0.888,,0.888,0.0,,1.0,0.112,0.5388145897153845,False,none,0.049566474304053226,0.0,0,0,False,0.3402745331018427,0.0
138,69000,69500,500,0.0,0.32440822830653343,0.3899096717338621,0.560374375154701,0.32440822830653343,,,0.904,,0.904,0.0,,1.0,0.096,0.5580070611458333,False,none,0.0549483666808992,0.0,0,0,False,0.3402745331018427,0.0
139,69500,70000,500,0.0,0.31894760117967214,0.38837621178225207,0.5058151902790983,0.31894760117967214,,,0.884,,0.884,0.0,,1.0,0.116,0.5602892504615418,False,none,0.06323703164680874,0.0,0,0,False,0.3402745331018427,0.0
140,70000,70500,500,0.0,0.3390758795192678,0.3689755329099591,0.5839610218002906,0.3390758795192678,,,0.88,,0.88,0.0,,1.0,0.12,0.5529091684788088,False,none,0.07029248074376662,0.0,0,0,False,0.3402745331018427,0.0
141,70500,71000,500,0.0,0.31927122700932226,0.3384819797375851,0.5792752050056029,0.31927122700932226,,,0.906,,0.906,0.0,,1.0,0.094,0.566889614018737,False,none,0.07089722689987625,0.0,0,0,False,0.3402745331018427,0.0
