window,start_row,stop_row,n_rows,shift_score,dominant_shift_feature,dominant_shift_contribution_percent,maximum_absolute_standardized_change,predicted_unknown_rate,novel_prevalence_posthoc,labels_present_posthoc,phase,normalized_shift_score
104,52000,52500,500,0.07768794924720188,pca_component_11,12.160121143378783,0.15324898166631792,0.034,0.0,Backdoor|Benign|DoS|Exploits|Generic|Worms,post_change,0.4325349476188398
105,52500,53000,500,0.05792947227426702,pca_component_5,23.785537977003344,0.1598199721581216,0.038,0.008,Benign|Exploits|Generic|Reconnaissance,post_change,-0.3256049708568396
106,53000,53500,500,0.059813419762357684,pca_component_5,18.700418335728255,0.14631851458119163,0.05,0.01,Backdoor|Benign|DoS|Exploits|Reconnaissance,post_change,-0.2533172233249831
107,53500,54000,500,0.05687873866932949,pca_component_1,23.97349210133764,0.15753991117414598,0.058,0.012,Benign|Exploits|Fuzzers|Generic|Reconnaissance,post_change,-0.3659219998807963
108,54000,54500,500,0.05915665897418591,pca_component_2,18.35226709251522,0.143358513091332,0.06,0.006,Benign|DoS|Exploits|Generic|Reconnaissance,post_change,-0.2785173726626377
109,54500,55000,500,0.05626939436159053,pca_component_2,28.883639785106826,0.1710697379145458,0.054,0.008,Benign|DoS|Exploits|Reconnaissance,post_change,-0.3893027616887859
110,55000,55500,500,0.058596164270570274,pca_component_5,19.00207125647985,0.1444922813806228,0.038,0.006,Benign|Exploits|Fuzzers|Generic|Reconnaissance,post_change,-0.3000237574658432
111,55500,56000,500,0.03880330794768847,pca_component_4,26.71472268571179,0.11345380733256254,0.048,0.004,Benign|DoS|Exploits|Fuzzers|Reconnaissance|Shellcode,post_change,-1.0594828240520642
112,56000,56500,500,0.13092355064155373,pca_component_24,20.46926515050516,0.33507643784049523,0.104,0.026,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,post_change,2.475204256412368
113,56500,57000,500,0.05818561063907298,pca_component_17,20.333695583767685,0.14842215887732688,0.06,0.038,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,-0.3157768490193881
114,57000,57500,500,0.056870469761101654,pca_component_20,14.34686154161073,0.1218541314032024,0.07,0.01,Backdoor|Benign|Exploits|Fuzzers|Generic|Reconnaissance,post_change,-0.3662392808847079
115,57500,58000,500,0.1058932261147976,pca_component_24,24.565606208525498,0.29689775360396403,0.09,0.004,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,post_change,1.5147816376989582
116,58000,58500,500,0.04423069109529224,pca_component_1,18.728617009458468,0.1082808281491242,0.042,0.008,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,post_change,-0.8512321667419418
117,58500,59000,500,0.05587174053158854,pca_component_1,17.92978991165713,0.13383040443863892,0.054,0.01,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,post_change,-0.404560883186319
118,59000,59500,500,0.07785897695964723,pca_component_16,24.39605013616018,0.21754216216588296,0.116,0.012,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,0.4390973428959665
119,59500,60000,500,0.06597140825724293,pca_component_26,16.50229292929015,0.15160128761555336,0.058,0.008,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,post_change,-0.017032974195784475
120,60000,60500,500,0.0489029398801449,pca_component_2,16.551417689237148,0.1125453501539017,0.054,0.01,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,post_change,-0.6719562884595006
121,60500,61000,500,0.10453293368896148,pca_component_4,28.716263716791985,0.3168780045843314,0.006,0.002,Benign|Exploits|Fuzzers|Reconnaissance,post_change,1.4625867245870245
122,61000,61500,500,0.0902782975383537,pca_component_20,15.443807389498794,0.20069453103833787,0.064,0.004,Benign|DoS|Exploits|Generic|Reconnaissance|Shellcode,post_change,0.9156311720955201
123,61500,62000,500,0.09686805461978862,pca_component_19,18.61012823531279,0.23639062559697477,0.02,0.01,Benign|Exploits|Generic|Reconnaissance,post_change,1.168482538288221
124,62000,62500,500,0.08183834006483093,pca_component_22,14.324391653146973,0.17521443983545562,0.048,0.008,Benign|DoS|Exploits|Generic|Reconnaissance|Shellcode,post_change,0.591786946668649
125,62500,63000,500,0.0823223998422597,pca_component_5,24.775816576552703,0.23179656727370723,0.072,0.01,Benign|DoS|Exploits|Generic|Reconnaissance|Shellcode,post_change,0.610360495667385
126,63000,63500,500,0.08482687442612219,pca_component_5,24.550389276349996,0.237759372353,0.064,0.004,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,post_change,0.7064580926347432
127,63500,64000,500,0.10489404541660988,pca_component_5,20.079494658206244,0.2658901282761642,0.088,0.006,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,1.476442712380769
128,64000,64500,500,0.15406130472526863,pca_component_23,28.44405611505566,0.46479807857749056,0.13,0.016,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,3.3630082616890133
129,64500,65000,500,0.20817665307030508,pca_component_25,33.766597141133744,0.6843064906866806,0.146,0.022,Benign|Exploits|Fuzzers|Generic|Reconnaissance,post_change,5.4394337796470875
130,65000,65500,500,0.2555977042632878,pca_component_25,49.993736375395954,1.0223267763246868,0.124,0.018,Benign|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,7.258996691035738
131,65500,66000,500,0.3027311027494146,pca_component_25,61.459001415592475,1.3425324194474293,0.116,0.004,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,post_change,8.0
132,66000,66500,500,0.4573820920791386,pca_component_25,63.34425321691875,2.0592437476626713,0.148,0.008,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Worms,post_change,8.0
