window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,queried_label_counts,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
131,65500,66000,500,0.546,0.8358974358974359,0.27863247863247864,0.7180616740088106,,0.09834087481146304,0.5352707124728942,0.5910022429846218,0.7180616740088106,0.0,0.0,0.0,1.0,0.41794871794871796,0.2458521870286576,0.05286343612334802,1.0,0.976,0.6659836065573771,0.13203532386390826,False,latched,0.6424178195712306,0.024,0,{},0,False,0.5193428171074622,0.0
132,66000,66500,500,0.71,0.7659574468085106,0.2553191489361702,0.6206896551724138,,0.061016949152542375,0.6690742531189974,0.5631083050024284,0.6206896551724138,0.0,0.0,0.0,1.0,0.3829787234042553,0.15254237288135594,0.041379310344827586,1.0,0.988,0.8178137651821862,0.2310992351417864,False,latched,0.7491076041647532,0.012,0,{},0,False,0.5193428171074622,0.0
133,66500,67000,500,0.592,0.888283378746594,0.296094459582198,0.7990196078431373,,0.09834087481146304,0.6456341877529292,0.7041766030736619,0.7990196078431373,0.0,0.0,0.0,1.0,0.444141689373297,0.2458521870286576,0.049019607843137254,1.0,0.98,0.6673469387755102,0.13771703095257623,False,latched,0.6506633699555411,0.02,0,{},0,False,0.5193428171074622,0.0
134,67000,67500,500,0.708,0.8549019607843137,0.2849673202614379,0.7465753424657534,,0.07159277504105091,0.7109751052855233,0.6378182803188608,0.7465753424657534,0.0,0.0,0.0,1.0,0.42745098039215684,0.17898193760262726,0.0410958904109589,1.0,0.988,0.7793522267206477,0.19336171266981866,False,latched,0.8850273355320041,0.012,0,{},0,False,0.5193428171074622,0.0
135,67500,68000,500,0.714,0.7777777777777778,0.25925925925925924,0.6363636363636364,,0.061590524534686976,0.6697728670535331,0.537854302560185,0.6363636363636364,0.0,0.0,0.0,1.0,0.3888888888888889,0.15397631133671744,0.06293706293706294,1.0,0.982,0.814663951120163,0.1987709225774121,False,latched,0.8687493513181688,0.018,0,{},0,False,0.5193428171074622,0.0
136,68000,68500,500,0.722,0.7247706422018348,0.2415902140672783,0.5683453237410072,,0.05457685664939551,0.6317672012579267,0.4349628330576536,0.5683453237410072,0.0,0.0,0.0,1.0,0.3623853211009174,0.13644214162348878,0.08633093525179857,1.0,0.976,0.8381147540983607,0.21864356394136306,False,latched,0.9186668606873198,0.024,0,{},0,False,0.5193428171074622,0.0
137,68500,69000,500,0.666,0.852233676975945,0.284077892325315,0.7425149700598802,,0.07948717948717948,0.7243058311531136,0.7259534984085881,0.7425149700598802,0.0,0.0,0.0,1.0,0.4261168384879725,0.1987179487179487,0.041916167664670656,1.0,0.986,0.7484787018255578,0.15033493560815403,False,latched,0.9349260497595923,0.014,0,{},0,False,0.5193428171074622,0.0
138,69000,69500,500,0.7,0.8372093023255814,0.27906976744186046,0.72,,0.07105263157894737,0.7211392680037249,0.6644571428571429,0.72,0.0,0.0,0.0,1.0,0.4186046511627907,0.17763157894736842,0.04,1.0,0.988,0.7813765182186235,0.16568583177872964,False,latched,1.1508368185815188,0.012,0,{},0,False,0.5193428171074622,0.0
139,69500,70000,500,0.646,0.9040247678018576,0.3013415892672859,0.8248587570621468,,0.09040247678018576,0.733265382405294,0.7564149656294274,0.8248587570621468,0.0,0.0,0.0,1.0,0.4520123839009288,0.2260061919504644,0.011299435028248588,1.0,0.996,0.7068273092369478,0.1917783745705862,False,latched,0.9702796502311057,0.004,0,{},0,False,0.5193428171074622,0.0
140,70000,70500,500,0.558,0.8459530026109661,0.2819843342036554,0.7330316742081447,,0.09788519637462235,0.5374677284056674,0.573817285392238,0.7330316742081447,0.0,0.0,0.0,1.0,0.42297650130548303,0.24471299093655588,0.10407239819004525,1.0,0.954,0.660377358490566,0.1822780345478946,False,latched,0.7930395929402708,0.046,0,{},0,False,0.5193428171074622,0.0
